CATEGORIA,CÓD,NOME,UND,PRECO
Insumos,14,SAL REFINADO,KG,"1,66"
Insumos,245,SAL SACHE,UND,"0,00"
Insumos,110,SARDINHA LATA,UND,"0,00"
Insumos,272,SEMENTE LINHAÇA 500G,UND,"0,00"
Insumos,111,TEMPERO COMPLETO 300G,UND,"3,99"
Insumos,112,TRIGO KIBE,UND,"5,49"
Insumos,188,UVA PASSAS,UND,"4,45"
Insumos,115,VINAGRE BRANCO 750ML,UND,"1,65"
Insumos,116,VINAGRE TINTO 750ML,UND,"4,49"
Laticinios,225,APRESUNTADO,KG,"0,00"
Laticinios,37,BACON,KG,"28,83"
Laticinios,196,BEBIDA LACTEA,UND,"0,00"
Laticinios,74,LEITE LONGA VIDA,UND,"4,79"
Laticinios,77,LINGUIÇA CALABRESA,UND,"5,62"
Laticinios,26,MARGARINA TIPO I 500G,UND,"9,07"
Laticinios,224,MARGARINA TIPO II 500G,UND,"6,27"
Laticinios,88,MORTADELA DE FRANGO,KG,"43,94"
Laticinios,90,NATA,UND,"6,99"
Laticinios,223,"NATA BALDE 3,5",UND,"0,00"
Laticinios,96,PATE,UND,"0,00"
Laticinios,299,PATE 100G,UND,"0,00"
Laticinios,160,PRESUNTO MAGRO,KG,"34,59"
Laticinios,97,QUEIJO FATIADO,KG,"33,11"
Laticinios,98,QUEIJO RALADO,UND,"3,05"
Laticinios,134,SALSICHA,KG,"10,63"
Descartaveis,118,BOBINA PLASTICA AMOSTRA 1L,UND,"22,73"
Descartaveis,148,BOBINA PLASTICA 10L,UND,"56,66"
Descartaveis,267,COLHER SOBREMESA DESCARTÁVEL,UND,"4,63"
Descartaveis,256,COPO DESCARTÁVEL 50ML,UND,"3,41"
Descartaveis,293,COPO DESCARTÁVEL 80ML,UND,"5,59"
Descartaveis,213,COPO DESCARTAVEL 200ML,UND,"5,84"
Descartaveis,54,COPO DESCARTAVEL 300ML,UND,"8,79"
Descartaveis,255,ESPETINHO CHURRASCO 50UN,UND,"0,00"
Descartaveis,218,FILME PVC EMBALAGEM,UND,"90,00"
Descartaveis,72,FOSFORO,UND,"2,16"
Descartaveis,166,GARFO DESCARTAVEL,UND,"0,00"
Descartaveis,73,GUARDANAPO,UND,"0,97"
Descartaveis,246,LUVA PLASTICA DESCARTÁVEL,UND,"2,72"
Descartaveis,264,MARMITAS DESCARTÁVEIS 100/3 100UN,CX,"0,00"
Descartaveis,266,MARMITAS DESCARTÁVEIS SALADA 400UN,CX,"0,22"
Descartaveis,276,MEXEDOR CAFÉ,UND,"13,61"
Descartaveis,95,PALITO DE DENTES,UND,"0,96"
Descartaveis,247,PALITO DENTAL EMBALADO,UND,"0,00"
Descartaveis,191,PAPEL ALUMINIO 30CM,UND,"0,00"
Descartaveis,200,PAPEL TOALHA INTERFOLHADO,FD,"0,00"
Descartaveis,164,PRATO DESCARTAVEL 15CM BOLO,UND,"1,28"
Descartaveis,282,SACO LIXO 30L,UND,"5,34"
Descartaveis,105,SACO LIXO 100L,UND,"3,07"
Descartaveis,248,SACO TALHER,UND,"14,90"
Descartaveis,136,TOUCA DESCARTAVEL,UND,"2,76"
Limpeza,81,AGUA SANITARIA,UND,"3,75"
Limpeza,192,ALCOOL 70% INPM,UND,"6,16"
Limpeza,172,ALCOOL GEL ACENDEDOR,UND,"0,00"
Limpeza,194,ALCOOL GEL ANTI-SEPTICO,UND,"0,00"
Limpeza,268,ALCOOL GEL 5L,UND,"0,00"
Limpeza,,BALDE,UND,"0,00"
Limpeza,152,DESENGRAXANTE,LT,"23,90"
Limpeza,57,DESINFETANTE 2L,UND,"4,47"
Limpeza,226,DETERGENTE BB 5L,UND,"17,46"
Limpeza,63,ESFREGÃO DE AÇO,UND,"1,85"
Limpeza,64,ESPONJA AÇO,UND,"2,69"
Limpeza,65,ESPONJA DUPLA FACE,UND,"1,09"
Limpeza,71,FIBRA LIMPEZA,UND,"0,00"
Limpeza,76,LIMPA FORNO,UND,"9,79"
Limpeza,205,LIMPA VIDRO,UND,"0,00"
